Gene ID,Gene Name,proliferating embryo Ce,elongating embryo Ce,fully-elongated embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,newly molted young adult hermaphrodite Ce,adult Ce,L2d-dauer molt Ce,dauer larva Ce,post dauer stage Ce
WBGene00000177,aqp-9,1,0.7,5,6,9,13,4,5,2,13,8,9
WBGene00000178,aqp-10,46,182,90,42,75,113,52,41,24,31,17,25
WBGene00000179,aqp-11,22,82,42,6,42,67,48,47,25,27,18,30
WBGene00000180,arc-1,6,24,19,13,15,13,5,7,5,21,11,13
WBGene00000181,ard-1,156,69,47,28,135,140,143,143,93,73,68,80
WBGene00000182,arf-1.2,562,665,651,285,366,380,155,152,200,225,154,220
WBGene00000183,arf-3,780,816,674,304,447,491,270,274,334,273,252,272
WBGene00000184,arf-6,45,77,59,30,17,31,22,27,31,18,22,14
WBGene00000185,arg-1,0.5,,0.4,2,0.3,0.1,,,0.1,0.8,0.1,0.3
WBGene00000186,ark-1,11,30,47,19,17,12,3,9,17,15,12,9
WBGene00000187,arl-1,38,72,56,14,39,42,29,34,27,30,25,24
WBGene00000188,arl-3,5,37,53,50,20,4,2,1,2,22,17,13
WBGene00000189,arl-5,35,45,20,10,10,11,6,19,12,8,8,7
WBGene00000190,arf-1.1,0.2,,1,3,0.9,4,3,2,1,1,0.6,0.8
WBGene00000192,arl-8,119,106,104,74,68,63,40,86,88,63,47,48
WBGene00000193,arl-6,3,19,15,3,2,0.7,0.3,0.7,0.3,4,3,3
WBGene00000195,arr-1,40,42,40,24,18,11,4,6,15,17,17,14
WBGene00000196,aars-1,3,8,7,5,7,9,3,9,5,6,8,6
WBGene00000197,aars-2,103,35,45,40,74,80,36,72,145,46,52,65
WBGene00000198,art-1,121,152,111,64,209,219,119,138,135,72,74,69
WBGene00000199,arx-1,48,80,73,114,66,48,16,40,47,26,26,25
WBGene00000200,arx-2,55,76,65,148,62,54,19,58,51,42,37,38
WBGene00000201,arx-3,70,83,78,105,61,52,22,44,47,36,47,41
WBGene00000202,exos-4.2,48,12,7,5,8,12,9,23,46,16,18,22
WBGene00000203,arx-5,38,94,48,10,45,31,29,36,48,34,24,27
WBGene00000204,arx-6,63,135,83,66,57,66,31,60,64,40,37,39
WBGene00000205,arx-7,57,55,34,10,25,21,26,30,38,21,11,14
WBGene00000206,asb-1,243,32,32,9,29,71,49,165,138,37,45,38
WBGene00000207,asb-2,143,158,269,241,557,470,297,219,186,305,316,291
WBGene00000208,asc-1,31,20,10,23,19,16,13,18,30,15,22,13
WBGene00000209,asg-1,369,150,83,10,186,201,238,234,269,141,77,91
WBGene00000210,asg-2,124,159,205,53,426,433,386,206,159,221,135,142
WBGene00000211,asm-1,15,0.7,6,9,5,6,3,4,3,4,3,8
WBGene00000212,asm-2,0.1,,3,11,8,9,4,9,6,9,10,10
WBGene00000213,asm-3,0.1,,0.2,3,10,6,4,11,20,2,0.3,0.2
WBGene00000214,asp-1,18,5,452,1357,2135,2434,1653,1153,2282,237,41,225
WBGene00000215,asp-2,3,5,72,122,305,485,208,259,222,14,4,40
WBGene00000216,asp-3,7,8,169,392,786,1010,451,542,757,84,30,88
WBGene00000217,asp-4,46,335,56,154,144,182,127,96,192,187,205,135
WBGene00000218,asp-5,4,2,150,1525,949,867,543,369,1215,96,24,63
WBGene00000219,asp-6,6,1,186,3301,995,1289,540,501,1644,191,33,109
WBGene00000220,atf-2,55,321,201,4,39,17,3,2,2,10,1,0.6
WBGene00000221,atf-5,24,128,181,129,147,120,61,47,41,99,71,54
WBGene00000222,atf-6,12,44,28,66,16,12,3,4,7,14,22,17
WBGene00000223,atf-7,67,122,115,305,66,67,20,46,75,74,61,67
WBGene00000224,atgp-1,31,201,189,129,61,40,18,12,14,37,35,33
WBGene00000225,atgp-2,11,27,58,43,28,24,5,7,7,29,15,15
WBGene00000226,atl-1,6,11,7,5,8,12,3,15,11,8,12,9
WBGene00000227,atm-1,12,6,9,6,5,4,1,7,12,4,3,2
WBGene00000228,atn-1,9,35,76,50,100,123,38,41,39,122,23,16
WBGene00000229,atp-2,1542,447,724,962,1745,1889,677,1066,1395,778,856,838
WBGene00000230,atp-3,438,240,253,416,522,480,355,360,346,308,362,287
WBGene00000231,atx-2,80,82,86,82,55,73,30,28,144,52,37,30
WBGene00000232,avr-14,2,5,20,16,11,6,2,2,0.9,15,12,12
WBGene00000233,avr-15,0.2,0.1,8,41,9,7,2,5,3,40,35,28
WBGene00000235,baf-1,441,253,97,26,164,142,96,145,184,70,56,80
WBGene00000236,bag-1,72,49,24,5,29,41,35,65,60,19,21,18
WBGene00000237,bam-2,8,42,51,50,20,18,4,4,6,19,13,9
WBGene00000238,bar-1,2,17,18,19,18,14,4,5,3,14,13,14
WBGene00000239,bas-1,2,4,14,12,17,26,11,11,7,10,4,10
WBGene00000240,pah-1,5,28,63,150,71,78,26,50,37,49,43,46
WBGene00000241,bbs-1,1,6,10,6,1,0.5,0.4,0.3,0.1,2,3,2
WBGene00000242,bbs-2,0.7,12,11,2,2,0.4,0.5,0.6,0.1,3,2,1
WBGene00000244,bbs-8,0.8,3,13,10,3,1,0.6,0.8,0.4,4,4,3
WBGene00000245,bca-1,6,4,9,28,43,27,17,18,14,14,9,17
WBGene00000246,bcc-1,0.4,0.2,2,4,7,15,4,3,1,16,13,10
WBGene00000247,bec-1,25,41,25,17,20,18,17,22,25,48,49,28
WBGene00000248,ben-1,35,151,116,29,41,16,16,21,18,8,7,8
WBGene00000249,bir-1,100,97,43,25,21,15,8,33,38,16,18,20
WBGene00000250,bir-2,24,4,6,3,3,9,2,35,45,7,13,5
WBGene00000251,bli-1,0.1,0.8,0.9,1,0.3,129,52,2,3,0.4,0.2,0.3
WBGene00000252,bli-2,1,0.2,0.5,0.2,0.7,186,231,5,4,0.5,0.4,0.2
WBGene00000253,bli-3,4,16,33,11,16,15,6,5,5,23,8,5
WBGene00000254,bli-4,42,45,65,26,42,47,28,44,51,57,43,42
WBGene00000255,bli-5,0.1,,3,0.1,5,6,8,2,0.9,8,1,0.3
WBGene00000256,bli-6,0.3,,0.2,0.1,,171,1180,61,27,0.9,0.1,0.3
WBGene00000257,bmk-1,54,31,8,3,11,10,8,24,40,7,10,8
WBGene00000259,bpl-1,3,6,8,16,8,9,4,10,8,12,12,9
WBGene00000262,bra-1,30,61,25,11,7,6,3,5,9,8,7,7
WBGene00000263,F23H11.5,691,221,252,130,672,477,558,339,532,297,232,323
WBGene00000264,brc-1,19,11,5,2,5,5,4,16,17,3,7,4
WBGene00000265,brd-1,27,15,6,1,5,8,3,14,19,3,5,4
WBGene00000266,bre-1,9,76,95,8,39,47,18,12,5,28,14,16
WBGene00000267,bre-2,1,9,8,9,3,4,3,3,1,7,8,5
WBGene00000268,bre-3,12,18,22,57,22,25,14,32,31,67,32,26
WBGene00000269,bre-4,10,8,13,10,10,13,5,8,14,14,9,7
WBGene00000270,bre-5,6,10,6,3,3,6,3,10,4,5,6,5
WBGene00000271,brf-1,20,30,16,13,10,12,3,20,22,12,17,14
WBGene00000272,bro-1,5,75,28,0.8,10,2,2,,0.3,5,7,3
WBGene00000273,brp-1,15,13,216,1467,244,204,93,107,455,1252,1825,1246
WBGene00000274,btf-1,11,7,6,3,7,10,3,12,17,6,7,4
WBGene00000275,bub-1,153,42,16,4,18,20,14,49,73,12,12,12
WBGene00000276,byn-1,90,100,77,252,93,69,28,60,55,150,339,291
WBGene00000277,cab-1,8,60,99,1433,208,74,29,30,44,341,473,426
WBGene00000279,cah-1,6,7,22,8,5,3,1,2,1,9,7,5
WBGene00000280,cah-2,1,3,15,5,6,3,1,1,0.4,9,8,7
WBGene00000281,cah-3,0.6,0.5,10,73,61,98,32,47,26,108,71,53
WBGene00000282,cah-4,4,23,26,153,103,139,66,92,75,152,81,98
WBGene00000283,cah-5,1,12,36,18,32,29,13,20,16,28,10,11
WBGene00000284,cah-6,4,5,38,62,19,6,2,2,2,52,30,28
WBGene00000285,cal-1,2,3,18,19,17,15,12,7,3,27,21,18
WBGene00000286,cal-2,1,4,20,109,21,12,6,6,3,42,70,38
WBGene00000287,cal-3,,2,4,7,5,5,1,1,1,3,8,3
WBGene00000288,cal-4,0.2,,7,33,20,5,3,2,0.8,27,23,16
WBGene00000289,cam-1,104,167,140,49,33,17,6,15,44,21,18,16
WBGene00000292,cap-1,91,183,128,61,64,56,28,49,46,55,43,40
WBGene00000293,cap-2,151,145,127,133,76,71,56,63,95,94,100,58
WBGene00000294,cas-1,26,41,29,65,28,31,15,15,24,39,29,21
WBGene00000295,cat-1,0.7,2,8,14,5,2,0.9,0.4,0.5,6,4,4
WBGene00000296,cat-2,2,,3,4,1,1,0.6,0.6,0.4,3,4,2
WBGene00000298,cat-4,2,17,11,43,24,58,24,51,22,70,14,23
WBGene00000301,cav-1,874,1973,335,11,24,0.6,6,4,153,1,0.7,0.5
WBGene00000302,cav-2,5,27,47,21,14,9,6,3,1,31,14,15
WBGene00000366,cbp-1,113,151,99,81,56,29,12,27,66,48,45,32
WBGene00000367,cca-1,1,8,15,17,9,5,1,2,1,8,9,7
WBGene00000368,ccb-1,8,31,64,54,33,16,7,5,4,26,21,16
WBGene00000369,ccf-1,255,101,94,50,47,50,27,55,117,47,38,42
WBGene00000370,ccg-1,2,10,50,368,104,92,45,47,63,512,323,293
WBGene00000371,cco-1,417,281,229,82,414,370,352,296,303,243,197,254
WBGene00000372,cyp-13A7,,0.2,0.4,0.9,0.7,0.1,,0.1,0.1,0.6,0.7,0.5
WBGene00000373,cyp-14A5,0.3,3,6,7,7,6,3,4,7,38,31,32
WBGene00000375,cyp-44A1,10,12,3,3,6,10,5,17,11,5,8,5
WBGene00000376,ccr-4,146,121,88,78,56,38,26,60,116,84,46,32
WBGene00000377,cct-1,306,75,140,65,213,175,77,158,234,113,140,142
WBGene00000378,cct-2,90,53,126,66,178,143,56,160,174,89,138,141
WBGene00000379,cct-4,162,66,137,197,214,189,82,183,177,146,454,263
WBGene00000380,cct-5,359,128,231,281,348,307,119,274,298,245,427,375
WBGene00000381,cct-6,87,49,116,62,199,170,69,151,199,109,133,140
WBGene00000382,cdc-6,28,24,12,6,11,14,7,31,29,11,21,16
WBGene00000383,cdc-14,54,92,48,111,20,14,6,24,36,33,29,24
WBGene00000386,cdc-25.1,114,21,20,9,9,18,9,79,89,12,21,15
WBGene00000387,cdc-25.2,173,175,82,10,12,6,3,7,29,6,5,3
WBGene00000388,cdc-25.3,54,4,10,0.1,,,0.7,15,29,0.3,,
WBGene00000389,cdc-25.4,0.6,0.1,2,,,2,4,3,2,,0.2,0.1
WBGene00000390,cdc-42,150,316,247,256,93,130,53,119,121,122,119,107
WBGene00000391,cdd-1,2,41,20,47,29,23,24,10,6,9,7,7
WBGene00000392,cdd-2,102,23,16,18,32,27,17,40,48,19,23,16
WBGene00000393,cdf-1,16,24,28,30,16,15,7,10,13,20,13,11
WBGene00000395,cdh-3,4,38,13,4,6,5,0.6,0.8,0.9,0.7,0.8,0.6
WBGene00000396,cdh-4,38,82,44,9,18,5,1,4,10,4,3,3
WBGene00000397,cdh-5,8,43,56,2,22,5,2,0.8,0.8,2,2,0.8
WBGene00000399,cdh-7,0.3,,0.2,,26,44,2,0.5,0.3,5,0.6,1
WBGene00000401,cdh-9,5,31,47,10,9,3,2,0.9,0.7,1,0.7,0.8
WBGene00000402,cdh-10,0.5,0.3,0.5,0.1,33,42,2,0.6,0.3,5,1,0.9
WBGene00000403,casy-1,19,40,171,532,87,34,9,9,18,149,169,138
WBGene00000405,cdk-1,289,101,46,10,36,31,22,101,142,21,26,23
WBGene00000406,cdk-4,32,26,7,7,5,3,2,5,9,3,0.6,2
WBGene00000407,cdk-5,24,36,31,42,21,21,12,33,39,27,31,26
WBGene00000408,cdk-7,56,36,23,14,13,17,11,36,27,18,26,21
WBGene00000409,cdk-8,18,37,24,11,14,17,9,26,42,18,18,15
WBGene00000410,cdk-9,43,27,20,14,18,16,7,17,23,21,22,18
WBGene00000411,cdl-1,518,178,72,35,34,28,14,72,159,20,29,23
WBGene00000412,cdr-1,0.1,2,2,2,4,2,1,0.6,1,2,0.7,4
WBGene00000413,cdt-1,51,30,12,9,7,7,2,13,33,5,7,4
WBGene00000414,cec-1,54,319,110,132,46,32,20,19,13,64,38,40
WBGene00000415,ced-1,24,27,27,68,21,18,5,14,38,28,26,19
WBGene00000416,ced-2,70,19,17,15,10,9,8,29,46,11,16,14
WBGene00000417,ced-3,46,27,17,5,4,7,6,52,88,5,9,4
WBGene00000418,ced-4,35,40,16,13,10,8,5,19,17,8,9,7
WBGene00000419,ced-5,13,20,14,7,13,12,4,18,17,8,8,8
WBGene00000420,ced-6,11,25,13,21,10,12,5,13,23,9,11,8
WBGene00000421,ced-7,20,33,27,15,30,24,6,24,30,49,44,28
WBGene00000422,ced-8,14,15,5,0.1,2,0.8,0.6,1,3,0.6,0.6,0.7
WBGene00000423,ced-9,81,29,15,10,7,6,7,26,43,10,10,12
WBGene00000424,ced-10,34,49,37,46,25,25,21,21,24,14,14,22
WBGene00000425,ced-11,11,23,31,2,8,3,1,1,1,8,4,3
WBGene00000426,ced-12,33,35,41,27,14,16,7,22,21,20,25,17
WBGene00000427,ced-13,,0.4,0.3,,,,,,,,,
WBGene00000428,ceh-1,,0.5,4,4,1,0.8,2,0.5,0.4,0.4,0.7,1
WBGene00000429,ceh-2,0.6,17,6,2,2,0.8,0.5,0.4,0.1,0.3,0.6,0.1
WBGene00000430,ceh-5,7,57,10,0.4,0.3,0.3,0.8,2,3,0.2,0.6,0.8
WBGene00000431,ceh-6,4,25,16,17,10,2,1,0.5,0.3,6,6,3
WBGene00000432,ceh-7,,,0.3,,,,,,,,0.1,0.1
WBGene00000433,ceh-8,2,26,13,11,2,0.2,0.2,0.2,0.2,2,3,2
WBGene00000434,ceh-9,2,0.3,5,3,4,2,2,0.3,0.1,1,0.9,0.8
WBGene00000435,ceh-10,3,16,10,10,2,0.7,0.5,0.7,0.7,3,2,1
WBGene00000436,ceh-12,,,0.5,0.1,1,0.8,0.8,0.5,,2,1,1
WBGene00000437,ceh-13,36,99,43,48,17,8,3,3,2,37,29,19
WBGene00000438,ceh-14,1,11,19,75,7,4,3,3,1,7,6,5
WBGene00000439,ceh-16,8,39,18,20,9,0.7,0.5,0.3,1,11,12,5
WBGene00000440,ceh-17,0.9,15,9,2,4,0.4,0.7,0.4,0.1,3,3,1
WBGene00000441,ceh-18,1,0.8,15,34,22,13,8,5,3,50,23,20
WBGene00000442,ceh-19,1,4,8,3,2,2,2,0.5,0.9,5,4,2
WBGene00000443,ceh-20,47,314,112,118,57,23,7,7,8,52,35,30
WBGene00000444,ceh-21,30,6,6,8,3,1,0.8,3,12,2,3,2
WBGene00000445,ceh-22,3,36,20,9,5,2,0.7,0.5,0.2,5,3,3
WBGene00000446,ceh-23,0.2,,1,11,5,1,1,0.5,0.3,3,5,3
WBGene00000447,ceh-24,2,9,18,4,3,2,0.8,0.4,0.2,4,4,3
WBGene00000448,pros-1,7,85,55,50,14,4,2,1,0.8,11,12,8
WBGene00000449,ceh-27,31,82,35,27,8,3,2,0.9,0.4,9,10,6
WBGene00000450,ceh-28,0.1,0.3,1,0.2,0.1,,,,,,,
WBGene00000451,ceh-30,4,24,12,1,2,1,1,0.8,0.7,1,1,0.7
WBGene00000452,ceh-31,2,17,13,10,4,2,0.5,0.2,0.1,5,4,3
WBGene00000453,ceh-32,40,131,101,58,17,7,3,2,15,18,15,10
WBGene00000454,ceh-33,0.3,0.5,6,14,2,0.7,0.6,0.4,0.1,3,4,3
WBGene00000455,ceh-34,15,95,64,52,8,5,2,1,1,12,10,6
WBGene00000457,ceh-36,27,11,12,13,1,0.5,0.3,,0.5,2,2,3
WBGene00000458,ceh-37,18,72,37,59,12,9,3,4,5,11,13,9
WBGene00000459,ceh-38,74,75,56,78,25,23,7,27,53,33,32,22
